Unique_ID,Bedroms,Year_Built,Total_Value,Building_Value,Land_Value,Sale_Price,Land_Use,Sale_Date
251,0,0,0,0,0,51200,SINGLE FAMILY,2013-01-02
217,3,1918,93200,48200,45000,50000,SINGLE FAMILY,2013-01-02
410,0,0,0,0,0,252000,RESIDENTIAL CONDO,2013-01-02
413,0,0,0,0,0,255000,RESIDENTIAL CONDO,2013-01-02
122,2,1940,245200,83400,140000,225000,SINGLE FAMILY,2013-01-02
298,5,2013,459800,368200,60000,72500,VACANT RES LAND,2013-01-02
378,4,1974,139100,114700,22500,152000,SINGLE FAMILY,2013-01-02
189,0,0,0,0,0,135000,RESIDENTIAL CONDO,2013-01-02
204,4,2006,1465500,1184700,280800,1365000,SINGLE FAMILY,2013-01-02
262,4,1984,92200,70600,21600,89900,DUPLEX,2013-01-03
77,0,0,0,0,0,154000,SINGLE FAMILY,2013-01-03
332,3,1985,53000,40500,12500,47025,ZERO LOT LINE,2013-01-03
402,0,0,0,0,0,150000,SINGLE FAMILY,2013-01-03
181,0,0,0,0,0,55900,SINGLE FAMILY,2013-01-03
313,2,1959,95600,70600,25000,98000,SINGLE FAMILY,2013-01-03
12,7,1978,129300,107800,21500,120000,SINGLE FAMILY,2013-01-04
400,0,0,0,0,0,129990,SINGLE FAMILY,2013-01-04
265,4,1948,270700,227700,37000,83000,SINGLE FAMILY,2013-01-04
24,4,1968,355400,300400,55000,267300,SINGLE FAMILY,2013-01-04
380,0,0,0,0,0,119900,SINGLE FAMILY,2013-01-04
417,0,0,0,0,0,275000,RESIDENTIAL CONDO,2013-01-04
264,3,1956,150700,120700,30000,77500,SINGLE FAMILY,2013-01-04
405,3,2005,173200,133200,40000,195000,SINGLE FAMILY,2013-01-04
221,3,2012,217100,172100,45000,215044,SINGLE FAMILY,2013-01-04
78,0,0,0,0,0,157000,SINGLE FAMILY,2013-01-04
16,2,1955,269000,213600,47000,262500,SINGLE FAMILY,2013-01-04
81,0,0,0,0,0,50000,VACANT RES LAND,2013-01-04
82,0,0,0,0,0,50000,VACANT RES LAND,2013-01-04
242,3,1966,59800,45800,14000,20000,SINGLE FAMILY,2013-01-04
153,0,0,0,0,0,194000,VACANT RES LAND,2013-01-04
245,2,1958,119300,94300,25000,100,SINGLE FAMILY,2013-01-04
5,2,1945,113300,86100,25000,93736,SINGLE FAMILY,2013-01-04
61,0,0,0,0,0,171990,SINGLE FAMILY,2013-01-04
34,0,0,0,0,0,152950,SINGLE FAMILY,2013-01-04
31,0,0,0,0,0,113000,RESIDENTIAL CONDO,2013-01-04
385,0,0,0,0,0,135790,SINGLE FAMILY,2013-01-04
39,0,0,0,0,0,80000,VACANT RES LAND,2013-01-07
220,3,1950,57800,37800,20000,59220,SINGLE FAMILY,2013-01-07
278,3,1969,166100,141100,25000,53000,SINGLE FAMILY,2013-01-07
6,0,0,0,0,0,64900,RESIDENTIAL CONDO,2013-01-07
96,0,0,0,0,0,900000,RESIDENTIAL CONDO,2013-01-07
159,3,1968,215400,148900,66500,224000,SINGLE FAMILY,2013-01-07
58,0,0,0,0,0,35000,VACANT RES LAND,2013-01-07
